2017-01-03 23:03:31.238 | INFO  | Thread-1   | start
2017-01-03 23:03:32.314 | INFO  | Thread-1   | served
2017-01-03 23:05:07.992 | INFO  | Thread-1   | start
2017-01-03 23:05:09.068 | INFO  | Thread-1   | served
2017-01-03 23:16:47.605 | INFO  | main       | Client{}name='Mike Johnson', location=Location{address='Sadovaya,6', region=LAKE_DISTRICT, x=5, y=7}} make an order.
2017-01-03 23:16:47.607 | INFO  | Thread-1   | start
2017-01-03 23:16:48.683 | INFO  | Thread-1   | served
2017-01-03 23:19:04.202 | INFO  | main       | Client  'Mike Johnson', Location{ 'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} make an order.
2017-01-03 23:19:04.205 | INFO  | Thread-1   | start
2017-01-03 23:19:05.282 | INFO  | Thread-1   | served
2017-01-03 23:20:17.687 | INFO  | main       | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} make an order.
2017-01-03 23:20:17.689 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}}is waiting for a car
2017-01-03 23:20:18.766 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} was served
2017-01-03 23:21:45.432 | INFO  | main       | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} make an order.
2017-01-03 23:21:45.435 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} is waiting for a car
2017-01-03 23:21:45.795 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} started the trip
2017-01-03 23:21:46.510 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} was served
2017-01-03 23:22:33.730 | INFO  | main       | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} make an order.
2017-01-03 23:22:33.731 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} is waiting for a car: Car{ 'Jackson', Location{'Azgur,3',  LAKE_DISTRICT, x=1, y=1}}speed=50}
2017-01-03 23:22:34.092 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} started the trip
2017-01-03 23:22:34.808 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} was served
2017-01-03 23:24:11.492 | INFO  | main       | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} make an order.
2017-01-03 23:24:11.494 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} is waiting for a car: Car{ 'Jackson', Location{'Azgur,3',  LAKE_DISTRICT, x=1, y=1}}speed=50}
2017-01-03 23:24:11.854 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} started the trip
2017-01-03 23:24:12.570 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} was served
2017-01-03 23:24:12.570 | INFO  | Thread-1   | Car{ 'Jackson', Location{'Nab,12',  MARKET_DISTRICT, x=2, y=-7}}speed=50} is free now with new Location{'Nab,12',  MARKET_DISTRICT, x=2, y=-7}
2017-01-03 23:25:52.336 | INFO  | main       | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} make an order.
2017-01-03 23:25:52.337 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} is waiting for a car: Car{ 'Jackson', Location{'Azgur,3',  LAKE_DISTRICT, x=1, y=1}} speed: 50}
2017-01-03 23:25:52.697 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} started the trip
2017-01-03 23:25:53.412 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} was served
2017-01-03 23:25:53.412 | INFO  | Thread-1   | Car{ 'Jackson', Location{'Nab,12',  MARKET_DISTRICT, x=2, y=-7}} speed: 50} is free now with new Location{'Nab,12',  MARKET_DISTRICT, x=2, y=-7}
2017-01-03 23:28:28.678 | INFO  | main       | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} make an order.
2017-01-03 23:28:28.679 | INFO  | main       | Client  'Lack Richardson', Location{'Victory,58',  SILENT_DISTRICT, x=-1, y=-16}} make an order.
2017-01-03 23:28:28.679 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} is waiting for a car: Car{ 'Jackson', Location{'Azgur,3',  LAKE_DISTRICT, x=1, y=1}} speed: 50}
2017-01-03 23:28:28.679 | INFO  | Thread-2   | Client  'Lack Richardson', Location{'Victory,58',  SILENT_DISTRICT, x=-1, y=-16}} is waiting for a car: Car{ 'Mickelson', Location{'Panamarenko,8',  SILENT_DISTRICT, x=-2, y=-4}} speed: 39}
